framework,mode,test,target_rps,actual_rps,avg_ms,med_ms,p95_ms,failed_rate,avg_rss_mb,max_rss_mb
fastify,cluster,concurrency,500,49079.02,9.1022,9.1259,15.2910,0.0000,0.00,0.00
nestjs,cluster,concurrency,500,21846.88,20.5324,20.7036,36.6207,0.0000,0.00,0.00
fastify,single,concurrency,500,19065.18,23.5317,16.2111,48.7866,0.0000,0.00,0.00
express,single,concurrency,500,15524.95,26.7882,33.3821,45.2907,0.0794,0.00,0.00
express,cluster,concurrency,500,13718.36,32.6798,27.6808,55.8884,0.0000,0.00,0.00
nestjs,single,concurrency,500,5408.62,82.9970,64.0733,163.6021,0.0000,0.00,0.00
express,cluster,static,1000,999.98,0.0249,0.0000,0.0000,0.0000,0.00,0.00
fastify,single,static,1000,999.97,0.0422,0.0000,0.5064,0.0000,0.00,0.00
fastify,cluster,static,1000,999.97,0.0134,0.0000,0.0000,0.0000,0.00,0.00
nestjs,single,static,1000,999.96,0.0411,0.0000,0.3307,0.0000,0.00,0.00
nestjs,cluster,static,1000,999.95,0.0338,0.0000,0.0000,0.0000,0.00,0.00
express,single,static,1000,999.94,0.0287,0.0000,0.0000,0.0000,0.00,0.00
fastify,single,io-simulate,500,492.36,300.4440,300.1282,301.9084,0.0000,0.00,0.00
nestjs,single,io-simulate,500,492.35,300.3328,300.0843,301.7878,0.0000,0.00,0.00
fastify,cluster,io-simulate,500,492.28,300.4091,300.0672,301.8359,0.0000,0.00,0.00
nestjs,cluster,io-simulate,500,492.22,300.7587,300.3950,302.5919,0.0000,0.00,0.00
express,cluster,io-simulate,500,492.17,300.8634,300.4085,302.4985,0.0000,0.00,0.00
express,single,io-simulate,500,492.06,300.3294,300.0822,301.8391,0.0000,0.00,0.00
express,single,hash,100,100.05,11.9834,0.6478,42.7221,0.0000,0.00,0.00
nestjs,cluster,static,100,100.05,0.5897,0.5161,1.3319,0.0000,0.00,0.00
nestjs,single,hash,100,100.04,0.9383,0.9430,1.5954,0.0000,0.00,0.00
nestjs,cluster,hash,100,100.04,1.0707,0.8846,2.3583,0.0000,0.00,0.00
nestjs,single,static,100,100.04,0.4918,0.5104,1.2315,0.0000,0.00,0.00
fastify,single,static,100,100.04,0.4887,0.5053,1.6088,0.0000,0.00,0.00
fastify,cluster,hash,100,100.04,1.0823,1.0338,2.0767,0.0000,0.00,0.00
express,cluster,hash,100,100.04,0.9320,0.5254,2.0422,0.0000,0.00,0.00
express,single,static,100,100.04,0.3025,0.5027,0.8081,0.0000,0.00,0.00
fastify,single,hash,100,100.00,1.0479,0.9951,2.2525,0.0000,0.00,0.00
fastify,cluster,static,100,99.99,0.2323,0.0000,0.8275,0.0000,0.00,0.00
fastify,workers,hash,100,99.92,29.5591,28.6144,36.3690,0.0000,0.00,0.00
nestjs,workers,hash,100,99.91,28.5462,27.3905,34.6192,0.0000,0.00,0.00
express,cluster,static,100,99.91,22.3057,26.5842,35.7153,0.0060,0.00,0.00
express,workers,hash,100,99.81,46.6513,45.3971,54.1576,0.0000,0.00,0.00
nestjs,single,io-simulate,100,98.50,301.9527,300.7232,310.3228,0.0000,0.00,0.00
express,single,io-simulate,100,98.49,301.2326,300.3635,308.1629,0.0000,0.00,0.00
nestjs,cluster,io-simulate,100,98.49,302.2058,300.9105,310.3512,0.0000,0.00,0.00
fastify,cluster,io-simulate,100,98.47,302.1052,300.7757,310.1340,0.0000,0.00,0.00
fastify,single,io-simulate,100,98.46,301.1813,300.4255,308.7661,0.0000,0.00,0.00
express,cluster,io-simulate,100,98.45,302.0262,300.7273,310.0763,0.0000,0.00,0.00
nestjs,single,compute,30,30.05,1.8926,1.6800,2.7024,0.0000,0.00,0.00
fastify,single,compute,30,30.05,1.9311,1.9998,2.7999,0.0000,0.00,0.00
nestjs,cluster,transform,30,30.04,10.1274,8.8916,22.4048,0.0000,0.00,0.00
nestjs,single,transform,30,30.04,10.2682,8.6563,24.0220,0.0000,0.00,0.00
nestjs,workers,compute,30,30.01,25.2560,24.8981,27.6336,0.0000,0.00,0.00
fastify,workers,compute,30,30.01,25.5462,25.3153,28.2231,0.0000,0.00,0.00
express,cluster,transform,30,30.00,9.8171,8.5306,20.5960,0.0000,0.00,0.00
nestjs,cluster,compute,30,30.00,3.0063,2.2012,6.4605,0.0000,0.00,0.00
express,single,compute,30,30.00,3.0129,2.5103,7.2058,0.0667,0.00,0.00
express,single,transform,30,30.00,10.8470,9.3666,20.7933,0.0000,0.00,0.00
fastify,single,transform,30,30.00,14.6391,14.1523,20.3839,0.0000,0.00,0.00
express,cluster,compute,30,30.00,2.9099,2.5118,6.4108,0.0000,0.00,0.00
fastify,cluster,compute,30,30.00,3.3464,3.2508,6.3129,0.0000,0.00,0.00
fastify,cluster,transform,30,29.99,12.9915,9.2721,32.1288,0.0000,0.00,0.00
express,workers,compute,30,29.97,43.7038,45.5454,50.3121,0.0000,0.00,0.00
nestjs,cluster,hash,20,20.05,1.7097,1.5085,3.5910,0.0000,0.00,0.00
