framework,mode,test,target_rps,actual_rps,avg_ms,med_ms,p95_ms,failed_rate,avg_rss_mb,max_rss_mb
fastify,cluster,hash,20,20.05,1.8337,1.8217,2.8169,0.0000,0.00,0.00
express,cluster,hash,20,20.05,1.4224,1.2609,3.5567,0.0000,0.00,0.00
fastify,workers,hash,20,20.02,24.8909,24.7336,27.4009,0.0000,0.00,0.00
nestjs,workers,hash,20,20.02,25.6370,25.3528,27.7325,0.0000,0.00,0.00
nestjs,single,hash,20,20.00,1.3606,1.2054,2.7279,0.0000,0.00,0.00
fastify,single,hash,20,20.00,1.9170,1.3356,5.2967,0.0000,0.00,0.00
express,single,hash,20,20.00,15.4661,6.3462,44.5555,0.0000,0.00,0.00
express,workers,hash,20,19.99,50.7841,53.9064,68.1465,0.0000,0.00,0.00
nestjs,cluster,compute,10,10.05,3.0944,2.4063,6.3748,0.0000,0.00,0.00
fastify,cluster,compute,10,10.05,3.2785,2.7616,6.2269,0.0000,0.00,0.00
express,single,transform,10,10.05,11.7050,9.4304,27.8269,0.0000,0.00,0.00
fastify,cluster,transform,10,10.05,11.4429,9.4819,26.0440,0.0000,0.00,0.00
nestjs,cluster,transform,10,10.05,12.2312,9.6746,29.5724,0.0000,0.00,0.00
express,cluster,transform,10,10.04,12.4722,11.2234,24.1422,0.0000,0.00,0.00
nestjs,workers,compute,10,10.04,28.1455,27.8425,30.4202,0.0000,0.00,0.00
express,workers,compute,10,10.03,39.8237,42.6795,50.3726,0.0000,0.00,0.00
express,single,compute,10,10.00,1.9327,1.5724,3.7832,0.0000,0.00,0.00
fastify,single,compute,10,10.00,2.0767,2.1050,2.7048,0.0000,0.00,0.00
express,cluster,compute,10,10.00,3.5898,2.7660,8.5061,0.0000,0.00,0.00
nestjs,single,compute,10,10.00,2.4627,2.0618,4.5869,0.0000,0.00,0.00
fastify,single,transform,10,10.00,18.4285,15.7567,36.5548,0.0000,0.00,0.00
nestjs,single,transform,10,10.00,13.2371,10.6941,30.3130,0.0000,0.00,0.00
fastify,workers,compute,10,10.00,27.6068,27.2255,31.5248,0.0000,0.00,0.00
